"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"1702064614169592054","https://twitter.com/AmgenMexico/status/1702064614169592054","Las enfermedades cardiovasculares son la principal causa de muerte a nivel mundial. El colesterol LDL contribuye a estas enfermedades. 

Más información en: https://t.co/n4hsJRXyHB

#DíaMundialDelCorazón #WHD #AimLow #ElColesterolNoAvisa #AmgenCardiovascular #Redúcelo https://t.co/4FztwoVeth","2023-09-13 21:00 +0000","52.0","5.0","0.09615384615384616","1.0","0.0","2.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1701626730316763500","https://twitter.com/AmgenMexico/status/1701626730316763500","La comunidad médica se reúne este 12 de septiembre para abordar diversos aspectos de la enfermedad ateroesclerosa cardiovascular (EAC) en #LDLXChange 2023 Virtual. *Evento dirigido a profesionales de la salud. 
#AmgenCardiovascular #ElColesterolNoAvisa #LDLXChange https://t.co/Nf1vYx7qK8","2023-09-12 16:00 +0000","57.0","6.0","0.10526315789473684","0.0","0.0","2.0","0.0","0.0","1.0","0.0","0.0","0","0","0","0","0","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1701265618836558193","https://twitter.com/AmgenMexico/status/1701265618836558193","Amgen Scholars, programa de @AmgenFoundation, es una experiencia de investigación de pregrado organizada en instituciones educativas y de investigación en Estados Unidos, Europa, Asia, Australia y Canadá. Conoce más aquí: https://t.co/YOdv4xiCG7 #EducaciónCientífica #SciEd https://t.co/ncbTKz61E3","2023-09-11 16:05 +0000","64.0","2.0","0.03125","0.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1700584880084504629","https://twitter.com/AmgenMexico/status/1700584880084504629","Datos de la @iofbonehealth (la Fundación Internacional de Osteoporosis), calculan que el costo en México por el tratamiento de una fractura de cadera en el sector público llega a 160 mil pesos.

#AmgenSaludÓsea https://t.co/dJFd77I225","2023-09-09 19:00 +0000","63.0","3.0","0.047619047619047616","0.0","0.0","1.0","0.0","0.0","1.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1700252675487482164","https://twitter.com/AmgenMexico/status/1700252675487482164","El sistema inmune defiende al organismo contra agentes externos. Cuando reconoce uno de estos agentes, los ataca produciendo anticuerpos. En la #TIP, destruye por error las plaquetas encargadas de sellar una lesión en los vasos sanguíneos.

 #Hematopedia #SeptiembreHematológico https://t.co/J8lw0YUKsl","2023-09-08 21:00 +0000","60.0","4.0","0.06666666666666667","1.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1699905384473837571","https://twitter.com/AmgenMexico/status/1699905384473837571","Faltan 5 días para que inicie #LDLXChange 2023, evento enfocado a los y las profesionales de la salud especializados en salud cardiovascular.  

*Evento dirigido a profesionales de la salud.

#AmgenCardiovascular #ElColesterolNoAvisa #LDLXChange https://t.co/UhfqmxVCf4","2023-09-07 22:00 +0000","64.0","3.0","0.046875","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1699468781678969094","https://twitter.com/AmgenMexico/status/1699468781678969094","El entendimiento de los mecanismos biológicos fundamentales de la vida humana es una característica definitoria de nuestros esfuerzos en investigación y desarrollo. 

#WeAreAmgen #deCodeGenetics https://t.co/hUIN2MrKkx","2023-09-06 17:05 +0000","59.0","1.0","0.01694915254237288","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","11","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1699197102469882069","https://twitter.com/AmgenMexico/status/1699197102469882069","En septiembre se conmemora el mes de los cánceres hematológicos, con el objetivo de sensibilizar sobre estas enfermedades y apoyar a las personas que la padecen.

En este artículo de @Saludiario podrás conocer más sobre el mieloma múltiple y la trombocitopenia inmune primaria.… https://t.co/4fePdYR1oz","2023-09-05 23:05 +0000","130.0","4.0","0.03076923076923077","1.0","0.0","2.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1699074918842065394","https://twitter.com/AmgenMexico/status/1699074918842065394","Hoy conmemoramos el #DíaMundialDelMielomaMúltple, cáncer de las células plasmáticas que se presenta en la médula ósea. El mieloma múltiple se considera que es el segundo cáncer hematológico más común después de los linfomas no Hodgkin. 

#MM #MielomaMúltiple https://t.co/fX1mLRCC74","2023-09-05 15:00 +0000","243.0","13.0","0.053497942386831275","3.0","0.0","5.0","1.0","0.0","1.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1698819481735217199","https://twitter.com/AmgenMexico/status/1698819481735217199","En Amgen México nos unimos a las acciones para visibilizar y generar conciencia sobre enfermedades hematológicas. Como parte de #SeptiembreHematológico hemos creado una #Hematopedia; una selección de conceptos relacionados con estas enfermedades. 

#LLA #MM #TIP https://t.co/60SBxvgIi9","2023-09-04 22:05 +0000","90.0","6.0","0.06666666666666667","1.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1698713792048136217","https://twitter.com/AmgenMexico/status/1698713792048136217","En @Amgen nos esforzamos para fortalecer la educación, expandir el acceso a la atención médica de una manera equitativa y buscar un modelo comercial más sostenible desde el punto de vista medioambiental. 

Conoce el informe ESG: 
https://t.co/Zi67FNcxCr  #ESG2022 #AmgenCares https://t.co/cJaZ95mUBZ","2023-09-04 15:05 +0000","139.0","5.0","0.03597122302158273","1.0","0.0","3.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1698078369240248766","https://twitter.com/AmgenMexico/status/1698078369240248766","En @Amgen invertimos en nuestro robusto programa de investigación y desarrollo para descubrir y producir nuevas terapias que nos ayudarán a mejorar la calidad de vida de las personas con enfermedades graves. 

#WeAreAmgen #AmgenScience https://t.co/hU9rT0kJ11","2023-09-02 21:00 +0000","58.0","1.0","0.017241379310344827","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","11","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1697655565105651762","https://twitter.com/AmgenMexico/status/1697655565105651762","Espacios como #LDLXChange 2023 ofrecen un foro para que especialistas en salud cardiovascular puedan actualizar sus conocimientos y conocer enfoques innovadores de tratamiento.  *Evento dirigido a profesionales de la salud.

#AmgenCardiovascular #ElColesterolNoAvisa #LDLXChange https://t.co/L6coaTdvgZ","2023-09-01 17:00 +0000","77.0","5.0","0.06493506493506493","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
